trade_date,close,pct_chg,vol,ema24,ma120,ma250,rise,fall,rise_limit,fall_limit,rise_limit_count,ema24_up,ma120_up,north_money,pct_chg_v,vol_5,vol_v,ema24_on_v,ma120_on_v,ma250_on_v,rise_fall_v,rise_limit_fall_limit_v,rise_limit_count_5,rise_limit_count_v,ema24_up_5,ema24_up_v,ma120_up_5,ma120_up_v,north_money_5,north_money_v1,north_money_v,v,v_5
20171102,3383.3095,-0.3711,166864267.0,3380.68,3255.77,3220.17,802,2369,25,5,14,873,1048,1671.47,-1.25,175907011.8,2.8499999999999996,5,4,3,-1.47,2.0100000000000002,12.8,3.2700000000000005,948.6,3.68,1167.0,2.7,664.6939999999993,2.51,4.0,2.5,2.3
20171101,3395.9125,0.0758,180566127.0,3380.45,3253.25,3219.1,1437,1651,32,2,9,981,1158,2675.97,0.25,179287883.4,3.0300000000000002,5,4,3,-0.21000000000000002,2.64,13.2,2.04,1063.8,3.68,1258.8,2.7600000000000002,667.8979999999992,4.01,4.0,2.7,2.4
20171031,3393.3417,0.0886,153498206.0,3379.1,3250.6,3218.05,2404,721,32,1,12,908,1154,-350.00000000000085,0.3,167800902.4,2.73,5,4,3,1.62,2.82,14.2,2.55,1125.8,3.24,1312.2,2.64,255.80399999999923,1.37,-4.0,2.2,2.5
20171030,3390.3371,-0.7749,208349286.0,3377.87,3248.18,3216.99,477,2704,25,28,13,753,1070,-1016.42,-2.6,165080763.4,3.7800000000000002,5,4,3,-2.0999999999999996,-0.18,15.0,2.61,1161.4,2.6,1345.4,2.4000000000000004,-304.3300000000006,3.34,-4.0,1.3,2.5
20171027,3416.8124,0.2713,170257173.0,3376.78,3245.99,3215.79,876,2241,23,1,16,1228,1405,342.450000000001,0.8999999999999999,149580164.0,3.42,5,4,3,-1.32,2.7600000000000002,16.2,2.9699999999999998,1249.2,3.92,1406.2,3.0,-375.8100000000006,0.91,2.73,2.8,2.7
20171026,3407.5671,0.3141,183768625.0,3373.3,3243.64,3214.46,1880,1163,34,3,16,1449,1507,1687.49,1.05,140963299.6,3.9000000000000004,5,4,3,0.72,2.52,16.0,3.0,1210.4,4.8,1385.6,3.2700000000000005,-451.3000000000008,3.74,4.0,3.2,2.7
20171025,3396.8975,0.2553,123131222.0,3370.32,3241.45,3213.17,2349,699,36,1,14,1291,1425,615.5,0.8500000000000001,135904873.6,2.73,5,4,3,1.62,2.8499999999999996,16.4,2.55,1079.6,4.8,1315.2,3.24,-774.1800000000006,0.8,2.4000000000000004,3.0,2.4
20171024,3388.2477,0.2233,139897511.0,3368.01,3239.43,3211.91,936,2153,26,7,16,1086,1320,-3150.67,0.75,142724387.4,2.94,5,4,3,-1.17,1.7399999999999998,17.0,2.82,1016.2,4.28,1290.2,3.06,-982.7720000000008,3.21,-4.0,2.0,2.3
20171023,3380.699,0.0607,130846289.0,3366.25,3237.46,3210.53,2121,932,39,0,19,1192,1374,-1373.82,0.2,139821230.2,2.82,5,4,3,1.17,3.0,16.6,3.42,1037.8,4.6,1314.6,3.1500000000000004,9.53399999999906,144.1,-4.0,2.4,2.4
20171020,3378.6481,0.2515,127172851.0,3364.99,3235.46,3209.26,2651,496,46,2,15,1034,1302,-35.0,0.8500000000000001,148518096.4,2.58,5,4,3,2.04,2.7600000000000002,16.4,2.73,1035.6,4.0,1326.0,2.94,598.7979999999991,0.06,-0.18,2.7,2.3
20171019,3370.1721,-0.3437,158476495.0,3363.81,3233.43,3207.99,805,2337,33,3,18,795,1155,73.09000000000042,-1.1500000000000001,151074479.0,3.1500000000000004,5,4,3,-1.47,2.4899999999999998,17.4,3.09,1258.4,2.52,1416.4,2.46,687.7979999999991,0.11,0.33,2.1,2.3
20171018,3381.7937,0.2892,157228791.0,3363.25,3231.42,3206.74,758,2360,25,0,17,974,1300,-427.460000000001,0.95,151741056.0,3.12,5,4,3,-1.53,3.0,17.8,2.88,1489.0,2.6,1513.6,2.58,770.4099999999993,0.55,-1.6500000000000001,2.2,2.4
20171017,3372.0407,-0.1903,125381725.0,3361.64,3229.68,3205.48,1561,1450,36,0,14,1194,1442,1810.86,-0.65,156590638.6,2.4000000000000004,5,4,3,0.12,3.0,18.6,2.25,1729.4,2.76,1588.0,2.73,1204.8859999999995,1.5,4.0,2.6,2.5
20171016,3378.4704,-0.3555,174330620.0,3360.73,3228.02,3204.18,482,2674,29,25,18,1181,1431,1572.5,-1.2,167399061.8,3.12,5,4,3,-2.07,0.21000000000000002,21.2,2.55,1934.6,2.44,1627.2,2.64,1686.6259999999995,0.93,2.79,2.0,2.7
20171013,3390.5233,0.1306,139954764.0,3359.19,3226.29,3202.69,2018,1052,57,1,20,2148,1754,410.0,0.44999999999999996,170880149.2,2.46,5,4,3,0.9299999999999999,2.91,22.0,2.73,2044.8,4.2,1632.2,3.21,2908.7759999999994,0.14,0.42000000000000004,2.7,3.0
20171012,3386.1,-0.0645,161809380.0,3356.47,3224.67,3201.12,1177,1913,38,1,20,1948,1641,486.15000000000197,-0.2,171861685.0,2.82,5,4,3,-0.72,2.8499999999999996,22.2,2.7,1885.4,4.12,1543.4,3.18,3073.3759999999993,0.16,0.48,2.5,3.1
20171011,3388.2838,0.1565,181476704.0,3353.89,3223.3,3199.53,1169,1903,40,4,21,2176,1672,1744.92,0.5,169388669.0,3.21,5,4,3,-0.72,2.46,22.2,2.8499999999999996,1718.0,5.08,1455.2,3.4499999999999997,2916.883999999999,0.6,1.7999999999999998,2.8,2.8
20171010,3382.9879,0.2552,179423841.0,3350.9,3222.12,3197.96,2336,764,70,1,27,2220,1638,4219.56,0.8500000000000001,161710717.2,3.33,5,4,3,1.53,2.91,21.4,3.7800000000000002,1525.8,5.8,1368.0,3.5999999999999996,2714.7079999999996,1.55,4.0,3.4,2.6
20171009,3374.3781,0.7595,191736057.0,3348.11,3221.23,3196.35,2584,520,56,2,22,1732,1456,7683.25,2.55,152351668.0,3.7800000000000002,5,4,3,1.98,2.79,20.6,3.21,1288.4,5.36,1272.0,3.42,1892.8959999999993,4.06,4.0,3.6,2.2
20170929,3348.9431,0.2785,144862443.0,3345.83,3220.39,3194.99,2376,695,39,4,21,1351,1310,1233.0,0.95,147928715.2,2.94,5,4,3,1.6500000000000001,2.43,21.0,3.0,1175.2,4.6,1213.6,3.24,20.829999999999337,59.19,4.0,3.2,1.7
20170928,3339.6421,-0.1683,149444300.0,3345.56,3219.89,3193.77,904,2199,35,0,20,1111,1200,-296.30999999999904,-0.55,154803028.0,2.91,-5,4,3,-1.26,3.0,21.4,2.79,1218.8,3.64,1214.8,2.9699999999999998,-103.77000000000066,2.86,-4.0,1.0,1.5
20170927,3345.2717,0.0505,143086945.0,3346.07,3219.3,3192.51,2200,822,43,2,17,1215,1236,734.0400000000011,0.15,164403907.0,2.61,-5,4,3,1.3800000000000001,2.73,21.6,2.37,1349.4,3.6,1246.6,2.9699999999999998,212.31999999999917,3.46,4.0,2.0,1.8
20170926,3343.5826,0.0609,132628595.0,3346.14,3218.82,3191.22,1527,1532,39,11,23,1033,1158,110.5,0.2,174225850.2,2.2800000000000002,-5,4,3,-0.0,1.6800000000000002,22.0,3.1500000000000004,1547.4,2.68,1296.0,2.67,494.0719999999989,0.22,0.66,1.4,2.1
20170925,3341.5487,-0.3275,169621293.0,3346.36,3218.29,3189.95,684,2424,41,9,24,1166,1164,-1677.08,-1.1,185926069.4,2.73,-5,4,3,-1.6800000000000002,1.92,20.2,3.57,1733.8,2.68,1343.0,2.61,520.4679999999987,3.22,-4.0,0.8,2.3
20170922,3352.5294,-0.1573,179234007.0,3346.78,3217.7,3188.6,1169,1931,48,2,23,1569,1316,610.0,-0.5,190065746.0,2.82,5,4,3,-0.75,2.7600000000000002,17.6,3.93,1925.8,3.24,1389.2,2.8499999999999996,1754.8279999999988,0.35,1.0499999999999998,2.5,2.7
20170921,3357.8123,-0.2431,197448695.0,3346.28,3216.62,3187.28,692,2400,36,1,21,1764,1359,1284.14,-0.8,198172107.8,3.0,5,4,3,-1.6500000000000001,2.8499999999999996,17.0,3.7199999999999998,2001.6,3.52,1385.2,2.94,1653.6279999999988,0.78,2.34,2.5,2.6
20170920,3365.9959,0.2726,192196661.0,3345.28,3215.39,3185.94,2215,807,50,0,19,2205,1483,2142.8,0.8999999999999999,202943666.2,2.8499999999999996,5,4,3,1.41,3.0,16.6,3.42,2081.0,4.24,1375.6,3.24,1427.205999999999,1.5,4.0,3.2,2.6
20170919,3356.8446,-0.1788,191129691.0,3343.48,3214.35,3184.79,1077,1991,32,0,14,1965,1393,242.479999999999,-0.6,203414477.0,2.82,5,4,3,-0.8999999999999999,3.0,16.4,2.55,2095.6,3.76,1337.6,3.12,1069.197999999999,0.23,0.6900000000000001,2.4,2.5
20170918,3362.8587,0.2755,190319676.0,3342.31,3213.48,3183.75,2091,901,33,7,11,2126,1395,4494.72,0.8999999999999999,219770602.6,2.61,5,4,3,1.2000000000000002,1.9500000000000002,17.2,1.92,2148.8,3.96,1309.2,3.21,1535.0019999999993,2.93,4.0,2.9,2.6
20170915,3353.6192,-0.5282,219765816.0,3340.53,3212.68,3182.66,1149,1891,32,7,20,1948,1296,104.0,-1.75,225508871.2,2.91,5,4,3,-0.72,1.92,18.2,3.3000000000000003,2204.0,3.52,1285.2,3.0300000000000002,1061.773999999999,0.1,0.30000000000000004,2.2,2.7
20170914,3371.4256,-0.3759,221306487.0,3339.39,3211.98,3181.61,1173,1866,37,0,19,2161,1311,152.030000000001,-1.25,221236744.8,3.0,5,4,3,-0.6900000000000001,3.0,17.2,3.3000000000000003,2266.6,3.8,1261.8,3.12,1154.3739999999991,0.13,0.39,2.4,2.8
20170913,3384.147,0.1379,194550715.0,3336.6,3210.96,3180.41,1841,1142,40,0,18,2278,1293,352.76,0.44999999999999996,221199184.4,2.64,5,4,3,0.6900000000000001,3.0,16.0,3.3600000000000003,2292.2,3.96,1229.8,3.1500000000000004,1330.661999999999,0.27,0.81,2.7,2.8
